년도,지역,1월 평균 기온,2월 평균 기온,3월 평균 기온,4월 평균 기온,5월 평균 기온,6월 평균 기온,7월 평균 기온,8월 평균 기온,9월 평균 기온,10월 평균 기온,11월 평균 기온,12월 평균 기온,1월 강수량,2월 강수량,3월 강수량,4월 강수량,5월 강수량,6월 강수량,7월 강수량,8월 강수량,9월 강수량,10월 강수량,11월 강수량,12월 강수량,평균 상대 습도,연간 일조시간 합
2015,경산시,2.3,3.8,9.2,14.6,21.7,22.9,25,26,20.6,15.8,11,4.5,24.1,14.6,50.5,82.7,34.7,62.1,157.5,269.5,70.3,38.1,70.9,33.5,,
2016,경산시,-0.2,3.1,8.8,14.9,20,23.4,26.4,27.6,21.9,16.6,8.8,4,23.8,15.5,67.5,151,65,45.7,307.3,81.2,306.5,111.5,11.3,41,,
2017,경산시,0.8,3,7.7,15.6,20.8,23.3,28,26.4,21.2,16,7.7,0.4,1,30.5,49.5,35.5,26.5,72,120,177.5,108.5,61,-,13,,
2018,경산시,-1.1,1.1,9.1,15,19.1,23.1,27.7,27.3,20.6,13.8,8.4,1.7,21,28.5,125.5,140,91.5,119,138.5,330.5,116.5,185,14.5,20,,
2019,경산시,1.3,3.6,9.2,13.2,20.2,22.3,25.4,26.9,22.1,16.1,9.4,3.2,8.5,36.5,27.5,87,31,335,165,118,216,120.5,17,28.5,,
2015,경주시,1.1,2.4,7,12.3,19.1,21.2,24,25.4,19.8,14.4,10.6,4.7,22.3,12.6,47.5,110.3,41.6,77.7,224.7,171.6,104.2,37.7,79.3,47.2,65.7,5.2
2016,경주시,-0.3,2.9,7.6,13.7,19,22.4,25.7,26.7,21.3,16,8.4,4.1,38.1,14,64.5,159.6,50.5,40.9,168.1,50.7,451.5,146.9,21.9,44.7,68,2227.6
2017,경주시,1,3,6.8,14.6,19.7,22.2,27.5,25.5,20.3,15.6,7.5,0.5,2,22.6,21.3,66.4,31.1,25.6,125.3,119.4,114.3,49.7,-,13,64.8,2580.4
2018,경주시,0.8,1,8.5,14.3,18.2,22.3,26.9,26.6,20.3,13.7,8.3,2.3,22,30.1,137.3,115.3,69.3,124.6,216.1,207,121.6,223.2,15.2,22,69.3,194.1
2019,경주시,2,3.8,8.8,12.4,19.2,21.4,24.8,26.1,21.8,15.9,9.3,3.4,13,25.5,30,85,20.9,175,159.2,184.9,253,241.5,19.5,31.6,68.8,193.5
2015,구미시,0.8,2.6,7.8,13.6,20.7,23.3,25.1,25.5,20.4,15.2,10.4,3.6,22.3,25.4,50,81.8,25,66.5,154.4,102.9,75.3,49.2,88.3,37.9,68,2246.3
2016,구미시,-0.3,2.5,8.3,14.9,19.7,23.5,26.1,27.3,21.4,15.7,7.7,3.1,16.6,23.7,50.5,163.7,59.4,29,325.4,114.7,238.5,155.1,12,19.4,71,2005.5
