지점,지점명,일시,평균기온,평균최고기온,평균최저기온,월합강수량,합계일사량,일교차
101,춘천,1701,-3,3.1,-8.5,15.1,260.72,11.6
101,춘천,1702,-1.2,5.1,-7.5,13,333.75,12.6
101,춘천,1703,5,12.2,-1.3,15.9,428.2,13.5
101,춘천,1704,13.6,20.5,6.5,56.5,543.97,14
101,춘천,1705,19.1,25.9,12.5,22,623.47,13.4
101,춘천,1706,22.8,29.2,16.9,88.9,631.98,12.3
101,춘천,1707,26.6,30.1,23.7,530.4,428.04,6.4
101,춘천,1708,24.5,28.8,21.2,343.1,425.35,7.6
101,춘천,1709,19.5,25.8,14.6,32.2,461.76,11.2
101,춘천,1710,13.9,20.3,9.1,50,355.66,11.2
101,춘천,1711,3.7,9.5,-1.5,23.1,249.31,11
101,춘천,1712,-3.9,1,-9,27,229.47,10
101,춘천,1801,-5.5,0.3,-10.6,5.9,274.35,10.9
101,춘천,1802,-3,3.4,-9.3,36.5,323.46,12.7
101,춘천,1803,7.3,13.5,1,32.8,418.73,12.5
101,춘천,1804,12.4,19.3,6,139.5,498.66,13.3
101,춘천,1805,17.7,23.5,11.8,201.9,566.15,11.7
101,춘천,1806,23.1,29.1,17.6,104.1,622.37,11.5
101,춘천,1807,26.7,31.5,22.6,213.6,598.56,8.9
101,춘천,1808,27.3,32.3,23.3,389.5,545.21,9
101,춘천,1809,19.6,25.3,15,69.9,449.98,10.3
101,춘천,1810,10.9,17.5,5.8,127.5,325.79,11.7
101,춘천,1811,5.6,11.7,1.2,63.5,209.29,10.5
101,춘천,1812,-2.8,3.3,-7.8,16.8,223.95,11.1
127,충주,1701,-2.5,3.4,-8,18,,11.4
127,충주,1702,-0.2,5.9,-6.1,36.2,,12
127,충주,1703,5.5,12.5,-1.1,22.5,,13.6
127,충주,1704,13.5,21,6.1,71.4,,14.9
127,충주,1705,18.7,26.4,11.1,32.2,,15.3
127,충주,1706,22.4,29.4,15.9,43.7,,13.5
127,충주,1707,26.3,30.5,23.1,464.3,,7.4
127,충주,1708,25.1,29.6,21.3,257.9,,8.3
127,충주,1709,19.6,26.2,14.2,62.4,,12
127,충주,1710,14.3,21,9.2,21.2,,11.8
127,충주,1711,4.4,11,-1.5,17.6,,12.5
127,충주,1712,-2.8,2.6,-7.9,25.5,,10.5
127,충주,1801,-4.7,0.4,-9.3,14.3,,9.7
