년도,지역,과중(g),경도 평균(단단함),당도,당산비,당산비_class,산도,PLANTY_SCORE,1월 평균 기온,2월 평균 기온,3월 평균 기온,4월 평균 기온,5월 평균 기온,6월 평균 기온,7월 평균 기온,8월 평균 기온,9월 평균 기온,10월 평균 기온,11월 평균 기온,12월 평균 기온,1월 강수량,2월 강수량,3월 강수량,4월 강수량,5월 강수량,6월 강수량,7월 강수량,8월 강수량,9월 강수량,10월 강수량,11월 강수량,12월 강수량,1월 일교차,2월 일교차,3월 일교차,4월 일교차,5월 일교차,6월 일교차,7월 일교차,8월 일교차,9월 일교차,10월 일교차,11월 일교차,12월 일교차
2015,김제,329.6,30.2,14.6,41.71428571,2,0.35,10.82,0.4,1.9,5.9,12.6,17.6,21.7,24.7,25.5,21,15.6,10.5,3.9,33.5,21.5,35,139,44,122,98,48,40,99.5,121.5,66.5,7.9,8.3,11.9,10.5,11.1,9.1,7.2,8.6,10.5,10.6,6.9,7.6
2016,김제,352.9,32.1,14.7,42,1,0.35,10.59,-0.7,2.1,6.8,13.3,18.5,22.4,26.4,27.1,22.2,15.9,8.1,3.4,31,36,50.5,153,101.5,45.5,253,30.5,141,134.5,36,47,7.3,8.6,11.1,11.3,11.6,8.5,7.4,8.5,8.2,8.4,9.6,9
2017,김제,377.9,32.2,13.9,43.4375,1,0.32,10.03,0.3,1.2,5.7,13.1,18.3,21.7,26.9,25.8,20.9,15.6,7,0.6,11,37.5,20,57,81.5,88,314,319.5,99,29.5,8.5,38,9.2,9.8,11.4,11.5,12,9.8,6.7,7.7,9.9,9.7,10.6,8.3
2017,충주,335.2,31.1,13.6,43.87096774,1,0.31,9.82,-2.5,-0.2,5.5,13.5,18.7,22.4,26.3,25.1,19.6,14.3,4.4,-2.8,18,36.2,22.5,71.4,32.2,43.7,464.3,257.9,62.4,21.2,17.6,25.5,11.4,12,13.6,14.9,15.3,13.5,7.4,8.3,12,11.8,12.5,10.5
2017,포천,348.6,34.3,15.4,42.77777778,1,0.36,11.08,-3.5,-1.6,4.4,12.4,17.9,21.7,26.1,24.3,19.3,12.9,3.1,-3.8,9.5,11,13.5,62,18,56,470.5,482.5,24.5,30,18,25,12.8,13.1,15.2,15.2,15.4,13.9,7.5,8.7,13.6,14,12.9,11
2017,화성,376.3,32.7,13.8,38.33333333,2,0.36,10.26,-1.1,0.1,5.5,12.7,17.9,21.8,26.2,25.4,21.3,15.5,5.7,-1.3,9,16,4,37.5,19,35.5,492,265,21.5,17,5.5,34,9.7,10.1,11.8,11.8,12.7,10.8,6.6,7.6,10.4,11.2,10.4,9.1
2017,남해,384.4,37.4,14.5,41.42857143,2,0.35,10.75,2.8,4.3,8.1,15.4,19.8,22.2,27.3,27.1,21.9,17.2,9.9,2.6,14.7,56,27.1,140.5,47.8,80.6,133.8,272.3,169.8,186.5,0.5,28.2,9.5,10.9,10.7,11.1,11.8,10.2,8,8,9.1,8.2,10.8,9.9
2017,춘천,258.9,34.5,14.8,43.52941176,1,0.34,10.66,-3,-1.2,5,13.6,19.1,22.8,26.6,24.5,19.5,13.9,3.7,-3.9,15.1,13,15.9,56.5,22,88.9,530.4,343.1,32.2,50,23.1,27,11.6,12.6,13.5,14,13.4,12.3,6.4,7.6,11.2,11.2,11,10
2018,군위,341.6,31.4,14.6,33.95348837,2,0.43,10.82,-4.1,-2,7,13.2,18.1,22.3,27.4,27.1,19.1,10.9,4.8,-1.7,0,0,107.5,119,138.5,101.5,166.5,240.5,102.5,160,18,22,12.6,16.5,15.3,15.7,13.8,12.9,11.3,12.8,11.6,14.8,15.5,13.6
2018,청송,250.2,53.2,12.7,39.6875,2,0.32,9.49,-4,-2.1,6.3,12.2,16.8,20.7,25.7,25.4,18.4,10.9,5.4,-1.2,13.1,16.5,112.5,133,93,58.8,229.7,155.6,107.9,165.1,33,21.5,11.9,14.7,14.5,15.4,13.3,13,11,11.2,10,12.6,13.8,12.3
