년도,지역,작물,"면적

",생산량,단위생산량
2015,경산시,사과,6.3,80,"1,600.00"
2016,경산시,사과,8.5,115,"1,352.90"
2017,경산시,사과,6.9,105.1,"1,523.20"
2018,경산시,사과,16.1,179,"1,111.80"
2019,경산시,사과,19.3,173,896.4
2015,경산시,배,1,12.5,"1,250.00"
2016,경산시,배,1.2,19.9,"1,658.30"
2017,경산시,배,0.7,14.4,"2,057.10"
2018,경산시,배,0.7,14.4,"2,057.10"
2019,경산시,배,0.7,12.7,"1,814.30"
2015,경산시,복숭아,"1,530.40","21,154.70","1,443.60"
2016,경산시,복숭아,"1,639.40","24,108.20","1,470.60"
2017,경산시,복숭아,"1,361.60","22,373.60","1,643.20"
2018,경산시,복숭아,"1,403.20","21,755.60","1,550.40"
2019,경산시,복숭아,"1,375.60","22,571.40","1,640.80"
2019,울진군,포도,0.4,1.5,375
2019,봉화군,포도,1,6,600
2016,봉화군,포도,1,11,823
2017,봉화군,포도,1,12,850
2018,문경시,포도,11,96.2,874.5
2015,경산시,감,50.2,696.5,"1,405.80"
2016,경산시,감,73.1,970.5,"1,327.60"
2017,경산시,감,73.3,"1,166.50","1,591.40"
2018,경산시,감,73.7,"1,135.50","1,540.70"
2019,경산시,감,72.6,"1,104.70","1,521.60"
2015,경산시,대추,824.2,"4,768.00",579.3
2016,경산시,대추,771.9,"4,266.00",552.7
2017,경산시,대추,533.6,"3,949.50",740.2
2018,경산시,대추,530.6,"3,973.00",748.8
2019,경산시,대추,525.6,"3,675.10",699.2
2015,경산시,감귤,-,-,-
2016,경산시,감귤,-,-,-
2017,경산시,감귤,-,-,-
2018,경산시,감귤,-,-,-
2019,경산시,감귤,-,-,-
2015,경산시,체리,-,-,-
2016,경산시,체리,-,-,-
2017,경산시,체리,-,-,-
2018,경산시,체리,-,-,-
2019,경산시,체리,-,-,-
2015,경산시,오디,-,-,-
2016,경산시,오디,-,-,-
2017,경산시,오디,-,-,-
2018,경산시,오디,-,-,-
2019,경산시,오디,-,-,-
2015,경산시,산딸기,-,-,-
2016,경산시,산딸기,-,-,-
2017,경산시,산딸기,-,-,-
2018,경산시,산딸기,-,-,-
2019,경산시,산딸기,-,-,-
2015,경산시,복분자,-,-,-
2016,경산시,복분자,-,-,-
2017,경산시,복분자,-,-,-
2018,경산시,복분자,-,-,-
2019,경산시,복분자,-,-,-
2015,경산시,자두,-,-,-
2016,경산시,자두,-,-,-
2017,경산시,자두,-,-,-
2018,경산시,자두,-,-,-
2019,경산시,자두,-,-,-
2015,경산시,살구,-,-,-
2016,경산시,살구,-,-,-
2017,경산시,살구,-,-,-
2018,경산시,살구,-,-,-
2019,경산시,살구,-,-,-
2015,경주시,사과,239,"4,675.00","1,955.00"
2016,경주시,사과,240,"4,678.00","1,946.00"
2017,경주시,사과,240,"4,595.00","1,915.00"
2018,경주시,사과,250,"4,600.00","1,920.00"
2019,경주시,사과,250,"3,420.00","1,368.00"
2015,경주시,배,185,"3,261.00","1,763.00"
2016,경주시,배,186,"3,361.00","1,807.00"
2017,경주시,배,186,"3,520.00","1,892.00"
2018,경주시,배,180,"3,500.00","1,880.00"
2019,경주시,배,170,"2,992.00","1,760.00"
2015,경주시,복숭아,65,"1,273.00","1,958.00"
2016,경주시,복숭아,74,"1,321.00","1,781.00"
2017,경주시,복숭아,74,"1,310.00","1,770.00"
2018,경주시,복숭아,70,"1,310.00","1,750.00"
2019,경주시,복숭아,70,"1,215.00","1,736.00"
2019,영양군,포도,7.3,74,"1,013.70"
2019,문경시,포도,11.5,118.8,"1,033.00"
2016,예천군,포도,3.6,37.9,"1,053.00"
2019,예천군,포도,3.1,33,"1,064.10"
2019,성주군,포도,7.5,81.7,"1,089.30"
2015,경주시,감,160,"1,520.00",956
2016,경주시,감,160,"1,520.00",956
2017,경주시,감,160,"1,600.00","1,000.00"
2018,경주시,감,160,"1,530.00",980
2019,경주시,감,160,"1,444.00",903
2015,경주시,대추,-,-,-
2016,경주시,대추,-,-,-
2017,경주시,대추,-,-,-
2018,경주시,대추,-,-,-
2019,경주시,대추,-,-,-
2015,경주시,감귤,-,-,-
2016,경주시,감귤,-,-,-
2017,경주시,감귤,-,-,-
2018,경주시,감귤,-,-,-
2019,경주시,감귤,-,-,-
2015,경주시,체리,52,504,"1,050.00"
2016,경주시,체리,52,504,971
2017,경주시,체리,52,530,"1,019.00"
2018,경주시,체리,52,520,"1,005.00"
2019,경주시,체리,52,426,819
2015,경주시,오디,10.3,20,194
2016,경주시,오디,11,20,190
2017,경주시,오디,11,19,172
2018,경주시,오디,11,20,190
2019,경주시,오디,11,20,181
2015,경주시,산딸기,-,-,-
2016,경주시,산딸기,-,-,-
